Ville,Hour
Kaboul,"Samedi, 00h31"
Pretoria,"Vendredi, 22h01"
Alger,"Vendredi, 21h01"
Berlin,"Vendredi, 22h01 (heure d'été)"
Luanda,"Vendredi, 21h01"
Ar Riyad,"Vendredi, 23h01"
Buenos Aires,"Vendredi, 17h01"
Erevan,"Samedi, 01h01 (heure d'été)"
Adelaide,"Samedi, 05h31 (heure d'hiver)"
Alice Springs,"Samedi, 05h31"
Perth,"Samedi, 04h01"
Brisbane,"Samedi, 06h01"
Hobart,"Samedi, 07h01 (heure d'été)"
Melbourne,"Samedi, 06h01 (heure d'hiver)"
Lord Howe,"Samedi, 06h31 (heure d'hiver)"
Sydney,"Samedi, 06h01 (heure d'hiver)"
Vienne,"Vendredi, 22h01 (heure d'été)"
Bakou,"Samedi, 01h01 (heure d'été)"
Nassau,"Vendredi, 16h01 (heure d'été)"
Dacca,"Samedi, 02h01"
Bruxelles,"Vendredi, 22h01 (heure d'été)"
Rangoon,"Samedi, 02h31"
La Paz,"Vendredi, 16h01"
Rio de Janeiro,"Vendredi, 17h01 (heure d'hiver)"
Sofia,"Vendredi, 23h01 (heure d'été)"
Ouagadougou,"Vendredi, 20h01"
Phnom Penh,"Samedi, 03h01"
Yaounde,"Vendredi, 21h01"
Calgary,"Vendredi, 14h01 (heure d'été)"
Vancouver,"Vendredi, 13h01 (heure d'été)"
Winnipeg,"Vendredi, 15h01 (heure d'été)"
Halifax,"Vendredi, 17h01 (heure d'été)"
Toronto,"Vendredi, 16h01 (heure d'été)"
Montréal,"Vendredi, 16h01 (heure d'été)"
Saint John's,"Vendredi, 17h31 (heure d'été)"
Santiago,"Vendredi, 17h01 (heure d'été)"
Pékin,"Samedi, 04h01"
Nicosie,"Vendredi, 22h01 (heure d'hiver)"
Bogota,"Vendredi, 15h01"
Brazzaville,"Vendredi, 21h01"
Séoul,"Samedi, 05h01"
Abidjan,"Vendredi, 20h01"
La Havane,"Vendredi, 16h01 (heure d'été)"
Copenhague,"Vendredi, 22h01 (heure d'été)"
Djibouti,"Vendredi, 23h01"
Le Caire,"Vendredi, 22h01 (heure d'hiver)"
Dublin,"Vendredi, 21h01 (heure d'été)"
Abu Dhabi,"Samedi, 00h01"
Madrid,"Vendredi, 22h01 (heure d'été)"
Los Angeles,"Vendredi, 13h01 (heure d'été)"
San Francisco,"Vendredi, 13h01 (heure d'été)"
Miami,"Vendredi, 16h01 (heure d'été)"
Atlanta,"Vendredi, 16h01 (heure d'été)"
Las Vegas,"Vendredi, 13h01 (heure d'été)"
New York,"Vendredi, 16h01 (heure d'été)"
Dallas,"Vendredi, 15h01 (heure d'été)"
Salt Lake City,"Vendredi, 14h01 (heure d'été)"
Seattle,"Vendredi, 13h01 (heure d'été)"
Washington D.C.,"Vendredi, 16h01 (heure d'été)"
Addis Ababa,"Vendredi, 23h01"
Helsinki,"Vendredi, 23h01 (heure d'été)"
Paris,"Vendredi, 22h01 (heure d'été)"
Libreville,"Vendredi, 21h01"
Athènes,"Vendredi, 23h01 (heure d'été)"
Basse-Terre,"Vendredi, 16h01"
Cayenne,"Vendredi, 17h01"
Port-au-Prince,"Vendredi, 15h01 (heure d'hiver)"
Victoria,"Samedi, 04h01"
Budapest,"Vendredi, 22h01 (heure d'été)"
Ile de Pâques,"Vendredi, 15h01 (heure d'été)"
Las Palmas,"Vendredi, 21h01 (heure d'été)"
Bombay,"Samedi, 01h31"
Djakarta,"Samedi, 03h01"
Bagdad,"Vendredi, 23h01 (heure d'hiver)"
Téhéran,"Vendredi, 23h31 (heure d'hiver)"
Reykjavik,"Vendredi, 20h01"
Jérusalem,"Vendredi, 22h01 (heure d'hiver)"
Rome,"Vendredi, 22h01 (heure d'été)"
Kingston,"Vendredi, 15h01"
Tokyo,"Samedi, 05h01"
Nairobi,"Vendredi, 23h01"
Beyrouth,"Vendredi, 23h01 (heure d'été)"
Tripoli,"Vendredi, 21h01 (heure d'hiver)"
Luxembourg,"Vendredi, 22h01 (heure d'été)"
Marrakech,"Vendredi, 20h01"
Fort-de-France,"Vendredi, 16h01"
Mexico City,"Vendredi, 15h01 (heure d'été)"
Katmandu,"Samedi, 01h46"
Oslo,"Vendredi, 22h01 (heure d'été)"
Nouméa,"Samedi, 07h01"
Auckland,"Samedi, 09h01 (heure d'été)"
Asuncion,"Vendredi, 16h01"
Amsterdam,"Vendredi, 22h01 (heure d'été)"
Lima,"Vendredi, 15h01"
Pôle Nord,"Samedi, 08h01 (heure d'hiver)"
Varsovie,"Vendredi, 22h01 (heure d'été)"
Papeete (Tahiti),"Vendredi, 10h01"
Lisbonne,"Vendredi, 21h01 (heure d'été)"
Prague,"Vendredi, 22h01 (heure d'été)"
Saint-Denis,"Samedi, 00h01"
Bucarest,"Vendredi, 23h01 (heure d'été)"
Londres,"Vendredi, 21h01 (heure d'été)"
Moscou,"Samedi, 00h01 (heure d'été)"
Vladivostok,"Samedi, 07h01 (heure d'été)"
Miquelon,"Vendredi, 18h01 (heure d'été)"
Bratislava,"Vendredi, 22h01 (heure d'été)"
Khartoum,"Vendredi, 22h01"
Colombo,"Samedi, 02h01"
Stockholm,"Vendredi, 22h01 (heure d'été)"
Berne,"Vendredi, 22h01 (heure d'été)"
Taipei,"Samedi, 04h01"
Bangkok,"Samedi, 03h01"
Lhasa,"Samedi, 04h01"
Tunis,"Vendredi, 22h01"
Ankara,"Vendredi, 23h01 (heure d'été)"
Caracas,"Vendredi, 16h01"
Hanoi,"Samedi, 03h01"
Sanaa,"Vendredi, 23h01"
